00002C,TLS_PSK_WITH_NULL_SHA,TLS,PSK,PSK,NULL,0,SHA,NULL
00002D,TLS_DHE_PSK_WITH_NULL_SHA,TLS,DHE,PSK,NULL,0,SHA,NULL
00002E,TLS_RSA_PSK_WITH_NULL_SHA,TLS,RSA,PSK,NULL,0,SHA,NULL
00002F,TLS_RSA_WITH_AES_128_CBC_SHA,TLS,RSA,RSA,AES_128_CBC,128,SHA,NULL
000030,TLS_DH_DSS_WITH_AES_128_CBC_SHA,TLS,DH,DSS,AES_128_CBC,128,SHA,NULL
000031,TLS_DH_RSA_WITH_AES_128_CBC_SHA,TLS,DH,RSA,AES_128_CBC,128,SHA,NULL
000032,TLS_DHE_DSS_WITH_AES_128_CBC_SHA,TLS,DHE,DSS,AES_128_CBC,128,SHA,NULL
000033,TLS_DHE_RSA_WITH_AES_128_CBC_SHA,TLS,DHE,RSA,AES_128_CBC,128,SHA,NULL
000034,TLS_DH_Anon_WITH_AES_128_CBC_SHA,TLS,DH,Anon,AES_128_CBC,128,SHA,NULL
000035,TLS_RSA_WITH_AES_256_CBC_SHA,TLS,RSA,RSA,AES_256_CBC,256,SHA,NULL
000036,TLS_DH_DSS_WITH_AES_256_CBC_SHA,TLS,DH,DSS,AES_256_CBC,256,SHA,NULL
000037,TLS_DH_RSA_WITH_AES_256_CBC_SHA,TLS,DH,RSA,AES_256_CBC,256,SHA,NULL
000038,TLS_DHE_DSS_WITH_AES_256_CBC_SHA,TLS,DHE,DSS,AES_256_CBC,256,SHA,NULL
000039,TLS_DHE_RSA_WITH_AES_256_CBC_SHA,TLS,DHE,RSA,AES_256_CBC,256,SHA,NULL
00003A,TLS_DH_Anon_WITH_AES_256_CBC_SHA,TLS,DH,Anon,AES_256_CBC,256,SHA,NULL
00003B,TLS_RSA_WITH_NULL_SHA256,TLS,RSA,RSA,NULL,0,SHA256,NULL
00003C,TLS_RSA_WITH_AES_128_CBC_SHA256,TLS,RSA,RSA,AES_128_CBC,128,SHA256,NULL
00003D,TLS_RSA_WITH_AES_256_CBC_SHA256,TLS,RSA,RSA,AES_256_CBC,256,SHA256,NULL
00003E,TLS_DH_DSS_WITH_AES_128_CBC_SHA256,TLS,DH,DSS,AES_128_CBC,128,SHA256,NULL
00003F,TLS_DH_RSA_WITH_AES_128_CBC_SHA256,TLS,DH,RSA,AES_128_CBC,128,SHA256,NULL
000040,TLS_DHE_DSS_WITH_AES_128_CBC_SHA256,TLS,DHE,DSS,AES_128_CBC,128,SHA256,NULL
000041,TLS_RSA_WITH_CAMELLIA_128_CBC_SHA,TLS,RSA,RSA,CAMELLIA_128_CBC,128,SHA,NULL
000042,TLS_DH_DSS_WITH_CAMELLIA_128_CBC_SHA,TLS,DH,DSS,CAMELLIA_128_CBC,128,SHA,NULL
000043,TLS_DH_RSA_WITH_CAMELLIA_128_CBC_SHA,TLS,DH,RSA,CAMELLIA_128_CBC,128,SHA,NULL
000044,TLS_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA,TLS,DHE,DSS,CAMELLIA_128_CBC,128,SHA,NULL
000045,TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA,TLS,DHE,RSA,CAMELLIA_128_CBC,128,SHA,NULL
000046,TLS_DH_Anon_WITH_CAMELLIA_128_CBC_SHA,TLS,DH,Anon,CAMELLIA_128_CBC,128,SHA,NULL
000047,TLS_ECDH_ECDSA_WITH_NULL_SHA,TLS,ECDH,ECDSA,NULL,0,SHA,NULL
000048,TLS_ECDH_ECDSA_WITH_RC4_128_SHA,TLS,ECDH,ECDSA,RC4_128,128,SHA,NULL
000049,TLS_ECDH_ECDSA_WITH_DES_CBC_SHA,TLS,ECDH,ECDSA,DES_CBC,56,SHA,NULL
00004A,TLS_ECDH_ECDSA_WITH_3DES_EDE_CBC_SHA,TLS,ECDH,ECDSA,3DES_EDE_CBC,168,SHA,NULL
00004B,TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA,TLS,ECDH,ECDSA,AES_128_CBC,128,SHA,NULL
00004C,TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA,TLS,ECDH,ECDSA,AES_256_CBC,256,SHA,NULL
000060,TLS_RSA_EXPORT1024_WITH_RC4_56_MD5,TLS,RSA_EXPORT 1024,RSA_EXPORT 1024,RC4_56,56,MD5,NULL
000061,TLS_RSA_EXPORT1024_WITH_RC2_CBC_56_MD5,TLS,RSA_EXPORT 1024,RSA_EXPORT 1024,RC2_CBC_56,56,MD5,NULL
000062,TLS_RSA_EXPORT1024_WITH_DES_CBC_SHA,TLS,RSA_EXPORT 1024,RSA_EXPORT 1024,DES_CBC,56,SHA,NULL
000063,TLS_DHE_DSS_EXPORT1024_WITH_DES_CBC_SHA,TLS,DHE,DSS,DES_CBC,56,SHA,NULL
000064,TLS_RSA_EXPORT1024_WITH_RC4_56_SHA,TLS,RSA_EXPORT 1024,RSA_EXPORT 1024,RC4_56,56,SHA,NULL
000065,TLS_DHE_DSS_EXPORT1024_WITH_RC4_56_SHA,TLS,DHE,DSS,RC4_56,56,SHA,NULL
000066,TLS_DHE_DSS_WITH_RC4_128_SHA,TLS,DHE,DSS,RC4_128,128,SHA,NULL
000067,TLS_DHE_RSA_WITH_AES_128_CBC_SHA256,TLS,DHE,RSA,AES_128_CBC,128,SHA256,NULL
000068,TLS_DH_DSS_WITH_AES_256_CBC_SHA256,TLS,DH,DSS,AES_256_CBC,256,SHA256,NULL
000069,TLS_DH_RSA_WITH_AES_256_CBC_SHA256,TLS,DH,RSA,AES_256_CBC,256,SHA256,NULL
00006A,TLS_DHE_DSS_WITH_AES_256_CBC_SHA256,TLS,DHE,DSS,AES_256_CBC,256,SHA256,NULL
00006B,TLS_DHE_RSA_WITH_AES_256_CBC_SHA256,TLS,DHE,RSA,AES_256_CBC,256,SHA256,NULL
00006C,TLS_DH_Anon_WITH_AES_128_CBC_SHA256,TLS,DH,Anon,AES_128_CBC,128,SHA256,NULL
00006D,TLS_DH_Anon_WITH_AES_256_CBC_SHA256,TLS,DH,Anon,AES_256_CBC,256,SHA256,NULL
000080,TLS_GOSTR341094_WITH_28147_CNT_IMIT,TLS,VKO GOST R 34.10-94,VKO GOST R 34.10-94,GOST28147,256,GOST28147,NULL
000081,TLS_GOSTR341001_WITH_28147_CNT_IMIT,TLS,VKO GOST R 34.10-2001,VKO GOST R 34.10-2001,GOST28147,256,GOST28147,NULL
000082,TLS_GOSTR341094_WITH_NULL_GOSTR3411,TLS,VKO GOST R 34.10-94,VKO GOST R 34.10-94,NULL,0,GOSTR3411,NULL
000083,TLS_GOSTR341001_WITH_NULL_GOSTR3411,TLS,VKO GOST R 34.10-2001,VKO GOST R 34.10-2001,NULL,0,GOSTR3411,NULL
000084,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA,TLS,RSA,RSA,CAMELLIA_256_CBC,256,SHA,NULL
000085,TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA,TLS,DH,DSS,CAMELLIA_256_CBC,256,SHA,NULL
000086,TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA,TLS,DH,RSA,CAMELLIA_256_CBC,256,SHA,NULL
000087,TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA,TLS,DHE,DSS,CAMELLIA_256_CBC,256,SHA,NULL
000088,TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA,TLS,DHE,RSA,CAMELLIA_256_CBC,256,SHA,NULL
000089,TLS_DH_Anon_WITH_CAMELLIA_256_CBC_SHA,TLS,DH,Anon,CAMELLIA_256_CBC,256,SHA,NULL
00008A,TLS_PSK_WITH_RC4_128_SHA,TLS,PSK,PSK,RC4_128,128,SHA,NULL
00008B,TLS_PSK_WITH_3DES_EDE_CBC_SHA,TLS,PSK,PSK,3DES_EDE_CBC,168,SHA,NULL
00008C,TLS_PSK_WITH_AES_128_CBC_SHA,TLS,PSK,PSK,AES_128_CBC,128,SHA,NULL
00008D,TLS_PSK_WITH_AES_256_CBC_SHA,TLS,PSK,PSK,AES_256_CBC,256,SHA,NULL
00008E,TLS_DHE_PSK_WITH_RC4_128_SHA,TLS,DHE,PSK,RC4_128,128,SHA,NULL
00008F,TLS_DHE_PSK_WITH_3DES_EDE_CBC_SHA,TLS,DHE,PSK,3DES_EDE_CBC,168,SHA,NULL
000090,TLS_DHE_PSK_WITH_AES_128_CBC_SHA,TLS,DHE,PSK,AES_128_CBC,128,SHA,NULL
000091,TLS_DHE_PSK_WITH_AES_256_CBC_SHA,TLS,DHE,PSK,AES_256_CBC,256,SHA,NULL
000092,TLS_RSA_PSK_WITH_RC4_128_SHA,TLS,RSA,PSK,RC4_128,128,SHA,NULL
000093,TLS_RSA_PSK_WITH_3DES_EDE_CBC_SHA,TLS,RSA,PSK,3DES_EDE_CBC,168,SHA,NULL
000094,TLS_RSA_PSK_WITH_AES_128_CBC_SHA,TLS,RSA,PSK,AES_128_CBC,128,SHA,NULL
000095,TLS_RSA_PSK_WITH_AES_256_CBC_SHA,TLS,RSA,PSK,AES_256_CBC,256,SHA,NULL
000096,TLS_RSA_WITH_SEED_CBC_SHA,TLS,RSA,RSA,SEED_CBC,128,SHA,NULL
000097,TLS_DH_DSS_WITH_SEED_CBC_SHA,TLS,DH,DSS,SEED_CBC,128,SHA,NULL
